1	Mit értünk hajón a Szabályzat I. része alapján? Hajó	"a nagyhajó, a kishajó, a vízi sporteszköz és az úszóm?."	"a belvízi hajó, beleértve a kishajót és kompot, továbbá a tengeri hajó és az úszómunkagép."	minden vízijárm? és úszómunkagép.		2
680	"Mit értünk mélyvezetés? köteles kompon a Szabályzat II. része alapján? Olyan köteles komp, amelynek vezet?kötele"	vízfelszín alatt a mederfenéken van átvezetve.	vízállásváltozást követ? magasságban van átvezetve.	"a vízfelszín alatt olyan mélységben van átvezetve, hogy a víziúton hajózó legnagyobb merülés? hajó már nem tud hajózni."		1
681	"Válassza ki, hogy milyen nappali jelzést kell viselniük a menetben lév? kompoknak?"	1 db 1-es fehér gömböt.	1 db 2-es fekete gömböt.	1 db 3-as zöld gömböt.	xxx-0652.jpg	3
682	Milyen úszó létesítmény jelenlétére számít a képen látható fényeket észlelve?	Menetben lév? vagy rövid ideig vesztegl? szabadon közleked? komp.	Menetben lév? köteles komp.	"Olyan szabadon közleked? komp, amely veszélyben van, segítséget kér."	xxx-0712.jpg	1
683	"Milyen hangjelzéssel kérheti köteles komp átkel?helyéhez érkezve a hajóút felszabadítását, az alacsonyvezetés? kompkötél leeresztését?"	Ismételt hosszú hangjellel.	Nagyon rövid hangsorozattal.	Hosszú-rövid-hosszú hangjelzésekkel.	xxx-0666.jpg	1
684	"Válassza ki, milyen fényjelzéssel jelzik egy alacsonyvezetés? köteles komp kötelének kifeszített állapotát?"	Er?s villogó sárga fénnyel.	Er?s villogó vörös fénnyel.	Er?s villogó kék fénnyel.	xxx-0664.jpg	1
685	Mit jelez a kompon látható fehér zászló vagy tábla?	"A fehér zászló, vagy tábla az alacsonyvezetés? komp vezet?kötelének leeresztett állapotát jelzi."	"A fehér zászló, vagy tábla azt jelzi, hogy a komp nem üzemel."	"A fehér zászló, vagy tábla a komp átkelési irányát jelzi."	xxx-0656.jpg	1
686	Hogyan jelezik az alacsonyvezetés? köteles komp vezet? kötelének leeresztett állapotát éjszaka (a kompra el?írt fényeken kívül)? A kompon	a közeled? hajókról jól látható vörös villogó fénnyel kell jelezni.	a közeled? hajókról jól látható sárga villogó fénnyel kell jelezni.	a közeled? hajókról jól látható minden oldalról látható fehér fénnyel kell jelezni.		3
687	Milyen jelzéssel kéri Balatonon a menetrend szerinti forgalomban közleked? komp kiköt?ben és annak 200 méteres térségében más hajótól közlekedése el?segítését nappal?	1 db 1-es sárga lobogóval.	1 db 6-os vörös lobogóval.	1 db 2-es zöld lobogóval.	xxx-2214.jpg	3
688	"Hogyan kezdeményezheti a hajóhíd nyitását, ha nem kötelezett rádiótelefon használatára?"	"A híd telefonszámán, vagy a helyszínen két hosszú hangjel adásával vagy szóban kell kezdeményezni."	Vörös lobogó lengetésével.	Három hosszú hangjelzéssel.	xxx-2186.jpg	1
689	"A helyszínen, milyen hangjelzéssel kezdeményezheti kishajó a hajóhíd nyitását?"	Egy hosszú hangjelzéssel lehet kezdeményezni a híd nyitását.	Egy hosszú és egy rövid hangjelzéssel lehet kezdeményezni a híd nyitását.	Két hosszú hangjelzéssel lehet kezdeményezni a híd nyitását.	xxx-2193.jpg	3
690	Tihany rév és Szántód rév között közleked? komp útvonala felé hajózik. Mit jelent a zöld lobogót is visel? komp által leadott egy hosszú hangból álló hangjelzés? A komp	a kiköt?ben és annak 200 m-es körzetében m?veletezésének el?segítését kéri.	kiköt?b?l kihajózóként élni kíván els?bbségi jogával.	"azt jelzi, hogy irányváltoztatás nélkül halad tovább."	xxx-3917.jpg	1
691	Mit értünk hajóhíd alatt?	"A hajó vezérl? központját, ahol a vezetéséhez és irányításhoz szükséges berendezések találhatók (kormányállás)."	"Úszó létesítményekb?l összeállított olyan nyitható ideiglenes híd, amely a parthoz és a mederhez van rögzítve."	"Katonai célú úszó létesítményekb?l összeállított híd, amely ideiglenes átkelésre szolgál."		2
692	Milyen távolságon belül nem közelítheti meg a zárt hajóhidat? A zárt hajóhidat tilos	100 méternél kisebb távolságra megközelíteni!	50 méternél kisebb távolságra megközelíteni!	150 méternél kisebb távolságra megközelíteni!	xxx-2190.jpg	1
693	Melyik táblával jelzik az alábbiak közül a hajóhidat?	1.	2.	3.	xxx-2204.jpg	1
694	"Milyen szabály vonatkozik egy híd alatti áthajózásra az alábbiak közül? Ha az egyes nyílásokat ajánló jelzésekkel jelölték, a jelzés nélküli"	nyílásokon tilos az áthajózás.	nyílásokon a hajó csak a saját kockázatára és felel?sségére hajózhat át.	nyílásokban korlátozott hajóútméretek állnak rendelkezésre.		2
695	"Nyitható hídhoz közeledve vagy azon való áthaladáskor a Szabályzat és más vonatkozó rendelkezésein kívül, milyen el?írásokat kell betartania?"	Kizárólag a Szabályzat el?írásait kell megtartani.	Csak a térségben tartózkodó hajók vezet?inek áthajózásra vonatkozó javaslatait kell figyelembe venni.	Követnie kell a híd kezel?személyzetének a hajózás biztonságára és rendjére vonatkozó utasításait.	xxx-1903.jpg	3
696	Hogyan lehet egy nyitható híd alatt áthajózni? A hajó vezet?je az áthaladás szándékát jelz? hosszú hangjelzést vagy rádiótelefonon történt egyeztetést követ?en	köteles követni a híd kezel?személyzetének a hajózás biztonságára és rendjére vonatkozóan adott utasításait.	"a lehet? legkisebb sebességgel áthaladni, amely közben az el?zés tilos!"	"az áthaladás során egy percenként rádión közölni azonosítóit, helyzetét és sebességét."	xxx-1908.jpg	1
697	"Mit kell tennie nyitható hídhoz közeledve az ábrán látható parti táblát látja és a híd alatt nem tud, vagy nem szándékozik áthaladni?"	"A jelzés a híd zárt állapotát jelzi, azaz érdekl?dni kell mikor lesz áthajózható."	A tábla el?tt meg kell állni!	Egy hosszú hangjelzést kell leadni!	xxx-1914.jpg	2
698	"Mit jelent, ha a nyitható hídon (vagy annak mindkét oldalán) függ?leges vonalban két vörös fényt lát?"	Egyidej?leg a kétirányú áthajózás tilos!	A híd nyitása a hajózás számára szünetel.	"Az áthaladás tilos, de az indulásra fel kell készülni!"	xxx-1920.jpg	2
699	Mit jelent a nyitható híd két oldalán látható egy-egy vörös fény?	Az áthaladás tilos!	A nyitható híd nyitása a hajózás számára szünetel!	"Az áthaladás tilos, kivéve a kis magasságú hajókat!"	xxx-1903.jpg	1
700	"Mit jelent, ha a nyitható híd mindkét oldalán egy vörös és mellette egy zöld fényt lát?"	"Az áthaladás tilos, kivéve a kis magasságú hajókat!"	"Az áthaladás szabad, de a híd rövidesen zárásra kerül, a hajóknak be kell fejezniük az áthajózást."	"Az áthaladás tilos, de a hajóknak indulásra fel kell készülniük!"	xxx-1941.jpg	3
701	"Mit jelent, ha a nyitható híd mindkét oldalán egy vörös és egy sárga fényt lát? A nyitható híd alatti áthaladás"	"az észlel? irányából szabad, a másik irányból tilos!"	"tilos, kivéve a kis magasságú hajókat, melyek áthaladása mindkét irányban megengedett!"	"tilos, kivéve a kis magasságú hajókat, melyek áthaladása egy irányban megengedett!"	xxx-1948.jpg	2
702	"Nyitható hidat közelít meg. Mit jelent, ha annak mindkét oldalán egy vörös és két sárga fényt lát? A nyitható híd alatti áthaladás"	"az észlel? irányából tilos, a másik irányból szabad!"	"tilos, kivéve a kis magasságú hajókat, melyek áthaladása mindkét irányban megengedett!"	"tilos, kivéve a kis magasságú hajókat, melyek áthaladása egy irányban megengedett!"	xxx-1981.jpg	3
703	"Nyitható hidat közelít meg. Mit jelent, ha annak mindkét oldalán egy zöld fényt lát?"	Az áthaladás szabad.	Az áthajózás a fények számának megfelel? számú hajó vagy kötelék számára szabad.	"Egy zöld fénynél fel lehet készülni az áthajózásra, míg két zöld fénynél szabad az áthajózás."	xxx-1908.jpg	1
704	"Mit jelent, ha a duzzasztóm? nyílásai felett egy-egy vörös fényt lát?"	A duzzasztóm? energiatermelésének szüneteltetését jelzik.	Áthaladási tilalmat jeleznek a duzzasztóm? átjáró nyílásain!	A duzzasztóm? kapujának/kapuinak behelyezésével vagy eltávolításával kapcsolatos munkálatokat jelzik.	xxx-2013.jpg	2
705	"Mit jelent, ha a duzzasztóm? átjáró nyílásai felett egy-egy zöld fényt lát?"	"Az jelzik, hogy az alvízi és felvízi oldal kiegyenlített vízszinten van!"	"Azt jelzik, hogy a duzzasztóm? átjáró nyílásain szabad az áthaladás!"	"Azt jelzik, hogy a vízeresztés szünetel, rendellenes vízmozgásokra nem kell számítani!"	xxx-2012.jpg	2
706	"Milyen magatartási szabály vonatkozik egy zsilip várakozóhelyéhez, illetve a zsiliphez közeled? hajóra az alábbiak közül?"	"A várakozóhelyen addig kell várakozni, amíg a zsilip kezel?személyzete a továbbhaladásra engedélyt ad"	Köteles csökkenteni sebességét és tilos el?zni!	"A kishajók kivételével érkezési sorrend szerint el kell foglalnia az utolsó helyet, az ott várakozó hajók között"		2
707	Milyen el?írás vonatkozik a zsilip várakozóhelyén valamint a zsilipben tartózkodó hajó horgonyára?	Csak m?veletezésre vehet? igénybe!	Tilos a vízvonal síkja fölé emelni.	Azt teljesen fel kell emelni!		3
708	Milyen el?írás vonatkozik kishajó zsilipelésére az alábbiak közül?	"A zsilip el?köt?jéb?l kötelesek bejelentkezni a zsilip személyzetének, és adatai (kishajó neve, lobogója, hossza, szélessége, hívójele, a kishajón tartózkodó személyek száma) bejelenteni."	"A kishajó külön zsilipelésre nem tarthat igényt, az a zsilipszemélyzet értesítése után hajózhat be a zsilipkamrába."	"A kishajó els?ként hajózhat be a zsilipbe, és ott a kapuig köteles hajózni."		2
709	Mi a célja a zsilipkamra falain észlelhet? (a rajzon sárga vonalakkal ábrázolt) jelzéseknek?	A hajóknak ezek között a határok között kell maradniuk.	A határokon belül a gépi meghajtó berendezéseket már csak alapjáraton szabad járatni.	A határokon belül már kishajók nem tartózkodhatnak.	xxx-2021.jpg	1
710	Milyen el?írás vonatkozik a zsilipben való tartózkodásra az alábbiak közül?	"A zsilipkamra töltése és ürítése alatt a hajót ameddig engedélyt nem kap a kihajózásra ki kell kötni a zsilipkamra falához, a zsilipkapuhoz, véd?berendezéshez vagy más hajóhoz."	"A zsilipkamra töltése és ürítése alatt a hajót ameddig engedélyt nem kap a kihajózásra ki kell kötni, hogy ne ütközzön a zsilipkamra falához, a zsilipkapuhoz, véd?berendezéshez, továbbá más hajóhoz vagy úszóanyagok kötelékéhez."	A zsilipkamra töltése és ürítése alatt a hajóknak tilos egymásra kötniük!		2
711	Milyen el?írás vonatkozik a zsilipben való tartózkodásra az alábbiak közül?	"A kikötést?l a kihajózás megkezdéséig a propulziós m?vet a biztonság érdekében alapjáraton kell m?ködtetni, leállításuk tilos!"	A kikötést?l a kihajózás megkezdéséig a propulziós m?vet csak a zsilipelés biztonsága érdekében szabad használni.	A kikötést?l a kihajózás megkezdéséig a propulziós m?vet tilos használni!		2
712	Milyen el?írás vonatkozik kishajók zsilipben való tartózkodására az alábbiak közül?	Legalább 10 méterrel a más fajtájú (kishajónak nem tekinthet?) hajó elé kell kikötnie.	"Rá kell kötnie magát más hajóra, hogy a kamrában lév? vízmozgások hatásából adódó ütközéseket elkerülje."	Más hajótól kell? távolságot kell tartania!		3
713	Mi a jelentése a zsilip bejáratánál függ?leges vonalban látható két vörös fénynek?	"A behajózás tilos, a zsilip nem üzemel!"	A zsilip két egymás utáni kamrából áll és az ellentétes irányú hajózás engedélyezett.	"A behajózás tilos, a zsilip nyitási el?készület alatt!"	teszt-1747.jpg	1
714	"Mi a jelentése, ha zsilip bejáratánál egy vörös fényt lát?"	"A behajózás tilos, a zsilip nem üzemel!"	"A behajózás tilos, a zsilip zárva vagy nyitási el?készület alatt áll!"	Egy vörös fény üzemzavart jelez.	teszt-1759.jpg	2
715	"Behajózhat-e a zsilipbe, ha bejáratánál egymás mellett két vörös fényt lát?"	"Nem, a zsilip még nyitási el?készület alatt áll!"	"Nem, a behajózás tilos, a zsilip nem üzemel!"	"Nem, a behajózás tilos, a zsilip zárva!"	xxx-2030.jpg	3
716	"Mit jelent, ha zsilip bejáratánál egymás melletti két vörös fény egyikét lekacsolják (marad egy vörös fény)?"	"A behajózás tilos, a zsilip nem üzemel!"	"A behajózás tilos, a zsilip zárva!"	"Tilos behajózni a zsilipbe, de a zsilip nyitásra el?készítés alatt áll!"	xxx-2035.jpg	3
717	"Behajózhat-e a zsilipbe, ha a bejáratánál egy vörös és mellette egy zöld fényt lát?"	"Nem, a behajózás tilos, a zsilip zárva!"	"Nem, a behajózás tilos, a zsilip még nyitási el?készület alatt áll!"	"Nem, a behajózás tilos, a zsilip nem üzemel!"	xxx-2043.jpg	2
718	"Behajózhat-e a zsilipbe, ha a bejáratánál egy zöld fényt lát?"	"Igen, a behajózás szabad."	"Nem, egy zöld fény fel lehet készülni a behajózásra! Két zöld a behajózás szabad!"	"Nem, a behajózás tilos, a zsilip még zárva!"	xxx-2053.jpg	1
719	"Mit jelent, ha a zsilip kijáratánál egy vörös fényt lát?"	A kihajózás tilos!	Készüljön fel a kihajózásra!	"A kihajózás tartósan szünetel, várakozzon!"	xxx-2070.jpg	1
720	"Kihajózhat-e a zsilipb?l, ha a kaput már kinyitották, de a kijáratánál mindkét oldalon egy-egy vörös fényt lát?"	"Nem, mivel a kihajózás engedélyezését két vízszintesen elhelyezett villogó zöld fény jelzi!"	"Igen, mivel a kihajózás tilalmát két függ?legesen elhelyezett vörös fény jelzi."	"Nem, a kihajózás még tilos!"	teszt-1787.jpg	3
721	"Kihajózhat-e a zsilipb?l, ha ott egy zöld fényt lát"	"Nem, mivel a kihajózás engedélyezését két vízszintesen elhelyezett zöld fény jelzi!"	"Igen, a kihajózás szabad!"	"Nem, a kihajózás még tilos, mivel a kihajózás engedélyezését egy zöld villogó fény jelzi!"	teszt-1796.jpg	2
722	"Mit kell tenni, ha a zsilip fény- vagy tábla jelzései nem m?ködnek, jelzések nem észlelhet?k?"	A hajóvezet? csak saját felel?sségére a legnagyobb körültekintéssel haladhat át a zsilipen!	El kell távolodnia mind a zsilip el? kiköt?jéb?l és várakozóhelyét?l legalább 500 méter távolságra és ott várakozni!	"Tilos be-, illetve kihajózni a zsilip személyzetének külön engedélye nélkül!"	xxx-2165.jpg	3
723	Mikor üzemelnek tavi kiköt?k fényjelzései?	Jégmentes id?szakban az illetékes hatóság eltér? rendelkezése hiányában.	A menetrendi hajók közlekedésének id?szakában.	Hajózási idényben az illetékes hatóság eltér? rendelkezése hiányában.		1
724	Milyen módon határozza meg a Szabályzat a kardinális (kit?z?) jeleket? A kardinális jel	"annak a jobb vagy bal oldalnak a nevét viseli, amellyel ellentétes irányban kell azt kerülni."	"égtájak szerint annak a körnegyednek a nevét viseli, amellyel ellentétes irányban kell azt kerülni."	"égtájak szerint annak a körnegyednek a nevét viseli, amelyben elhelyezték és amely irány fel?l azt kerülni kell."		3
725	Melyik égtáj szerinti irány fel?l kell elhajózni az ábrán látható kardinális jel mellett?	Észak fel?l.	Nyugat fel?l.	Kelet fel?l.	xxx-0376.jpg	1
726	Biztonságra törekedve melyik irány (égtáj) fel?l halad el a folytonosan ismétl?d? gyors vagy nagyon gyors fehér fényjelzést adó jel mellett?	Bármelyik oldalról el lehet a jel(ek) mellett hajózni.	"Északról, a hajóm bal oldala fel?l kell elhajózni a jel(ek) mellett."	"Délr?l, hajóm jobb oldala fel?l kell elhajózni a jel(ek) mellett."	teszt-0375.jpg	2
727	Melyik irány (égtáj) fel?l kell elhajózni az ábrán látható kardinális kit?z? jel mellett?	Észak fel?l.	Bármelyik irányból.	Dél fel?l.	teszt-0398.jpg	3
728	"Melyik irány (égtáj) fel?l kell elhajózni az olyan kardinális kit?z? jel mellet, amely hat gyors vagy nagyon gyors majd azokat követ? 2 másodperces felvillanásokból álló összetett fehér fényjelzéssel jelez?"	Észak fel?l.	Bármelyik irányból.	Dél fel?l.	xxx-0396.jpg	3
729	Melyik irány (égtáj) fel?l kell elhajózni az ábrán látható kardinális kit?z? jel mellett?	Nyugat fel?l.	Bármelyik irányból.	Kelet fel?l.	teszt-0368.jpg	1
730	"Melyik irány (égtáj) fel?l kell elhaladni az olyan kardinális kit?z? jel mellet, amely kilenc gyors vagy nagyon gyors felvillanáscsoportból álló összetett fehér fényjelzést ad?"	Kelet fel?l.	Bármelyik irányból.	Nyugat fel?l.	xxx-0405.jpg	3
731	Északról déli irányban hajózik. Melyik irány (égtáj) fel?l kell elhajózni az ábrán látható kardinális kit?z? jel mellett?	Nyugat fel?l.	Bármelyik irányból.	Kelet fel?l.	teszt-0373.jpg	3
732	"Melyik irány (égtáj) fel?l kell elhaladni az olyan kardinális kit?z? jel mellett, amely három gyors vagy nagyon gyors felvillanáscsoportból álló összetett fehér fényjelzést ad?"	Nyugat fel?l.	Kelet fel?l.	Bármelyik irányból.	teszt-0381.jpg	2
733	Melyik tavi jelzés látható az ábrán?	Északi kardinális.	Különálló veszélyes helyeket jelz? jel.	"A hajóút tengelyét, biztonságos vizeket jelz? jel."	xxx-0431.jpg	2
734	Melyik irány fel?l lehet elhajózni az ábrán látható tavi jel mellett?	Mindig a hajó bal oldala fel?l.	Bármelyik irányból.	Délr?l.	teszt-0387.jpg	2
735	Mit jelez tavon éjszaka a két fehér szín? felvillanásból álló fénycsoport?	"A korlátozott rendeltetés? vízterület határait, sarokpontjait jelöli."	A különálló veszélyes helyeket jelöli.	A hajóút tengelyét jelöli.	teszt-0415.jpg	2
736	Melyik irány fel?l lehet elhaladni az ábrán látható tavi jel mellett?	A hajó jobb oldala fel?l lehet elhajózni mellette.	A hajó bal oldala fel?l lehet elhajózni mellette.	Bármely oldalról.	teszt-0414.jpg	3
737	Melyik tavi jel látható az ábrán?	"Meghatározott rendeltetés? vízterületet (pl. vízi sportpálya, horgonyzóhely stb.) jelz? jel."	Különálló veszélyes helyeket jelz? jel.	"A hajóút tengelyvonalát, biztonságos vizeket jelz? jel."	teszt-0419.jpg	3
738	"Válassza ki a meghatározott rendeltetés? terület (pl. vízi sportpálya, horgonyzóhely stb.) határát jelz? jelet!"	1.	2.	3.	teszt-0412.jpg	1
739	Mi a jelentése az ábrán látható tavi jelzéseknek?	Süllyedt hajó vagy egyéb tárgy a jelzések által körülhatárolt területen.	Hajózástól elzárt terület!	"Meghatározott rendeltetés? terület (pl. vízi sportpályát, horgonyzóhelyet stb.)."	teszt-0443.jpg	2
740	Mit jelent az ábrán látható tavi úszó jel?	"Meghatározott rendeltetés? területet (pl. vízi sportpályát, horgonyzóhelyet stb.) jelöl."	A hajózás számára teljesen tiltott zónát határoló úszó jel!	Hajóút tengelyét jelzi.	zzz-0593.jpg	2
741	"Mit jelöl tavon éjszaka az ábrán látható vörös sávos jel, rajta egy merev háromszög alakú (vörös szín?) zászlóval?"	A hajózás számára teljesen tiltott terület határát jelöli.	"Meghatározott rendeltetés? területet (pl. vízi sportpályát, horgonyzóhelyet stb.) jelöl."	Kiköt? behajózó csatornájának bal szélét jelöli.	teszt-0450.jpg	1
742	"Mi a jelentése a tavi úszó párnak (balról vörös-sárga úszó, jobbról zöld-sárga úszó)?"	"Kiköt?höz vezet? csatorna széle, a tó fel?l közelít? hajó helyzetéb?l."	"Tiltott vagy korlátozottan használható part menti zónán keresztül vezet? csatorna bejárata, a nyílt víz fel?l közeledve."	"Tóba torkolló hajózható csatorna széle, a csatorna fel?l közelít? hajó helyzetéb?l."	xxx-0438.jpg	2
743	"Mi a jelentése a balról vörös-sárga, jobbról zöld-sárga fényvisszaver? sávokkal ellátott tavi úszó párnak?"	"Kiköt?höz vezet? csatorna széle, a tó fel?l közelít? hajó helyzetéb?l."	"Tiltott vagy korlátozottan használható part menti zónán keresztül vezet? csatorna bejárata, a nyílt víz fel?l közeledve."	"Tóba torkolló hajózható csatorna széle, a csatorna fel?l közelít? hajó helyzetéb?l."	xxx-0439.jpg	2
744	"Nagyhajók fogadására is alkalmas tavi, kétmólós kiköt? felé hajózik. Milyen jelzés észlelhet? a jobboldali (X-el jelzett) mólószáron nappal?"	"Zöld-fehér, 1,5 méter széles vízszintesen csíkozott jelz?oszlop."	"Vörös-fehér, 1,5 méter széles vízszintesen csíkozott jelz?oszlop."	"Fekete-fehér, 1,5 méter széles vízszintesen csíkozott jelz?oszlop."	xxx-0475.jpg	1
745	"Nagyhajók fogadására is alkalmas tavi, kétmólós kiköt? felé hajózik. Milyen jelzés észlelhet? a baloldali (X-el jelzett) mólón nappal?"	"Vörös-fehér, 1,5 méter széles vízszintesen csíkozott jelz?oszlop."	"Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelz?oszlop."	"Fekete-fehér, 1,5 méter széles vízszintesen csíkozott jelz?oszlop."	xxx-0476.jpg	1
746	Milyen jelzéssekkel jelölik a nagyhajók kikötésére alkalmas tavi kétmólós kiköt?t éjszaka? A tó fel?l nézve	"minden oldalról látható, jobbról villogó vörös, balról villogó zöld fények."	minden oldalról látható villogó fehér fények.	"minden oldalról látható, jobbról villogó zöld, balról villogó vörös fények."		3
747	"Nagyhajók fogadására is alkalmas tavi, egymólós jobbról megközelíthet? kiköt? (Tihany) felé hajózik. Milyen kiköt?i jelzés észlelhet? jobbról (az X-el jelzett helyen) nappal?"	"Zöld-fehér, 1,5 méter széles csíkozású jelz?oszlop."	"Vörös-fehér, 1,5 méter széles csíkozású jelz?oszlop."	"Vörös-zöld, 1,5 méter széles csíkozású jelz?oszlop."	xxx-0483.jpg	1
748	"Nagyhajók fogadására is alkalmas tavi, egymólós jobbról megközelíthet? kiköt? (Tihany) felé hajózik. Milyen kiköt?i fényjelzés észlelhet? éjszaka jobbról (az X-el jelzet)t helyen?"	Minden oldalról látható villanó vörös fény.	Minden oldalról látható villanó zöld fény.	Minden oldalról látható villanó fehér fény.	xxx-0484.jpg	2
749	"Nagyhajók fogadására alkalmas tavi, egymólós - balról megközelíthet? - kiköt? (Balatonakali) felé hajózik. Milyen kiköt?i jelzés észlelhet? balról (az X-el jelzett helyen) nappal?"	"Zöld-fehér, 1,5 méter széles vízszintesen csíkozott jelz?oszlop."	"Vörös-fehér, 1,5 méter széles vízszintesen csíkozott jelz?oszlop."	"Vörös-zöld, 1,5 méter széles vízszintesen csíkozott jelz?oszlop."	xxx-0485.jpg	2
750	"Nagyhajók fogadására alkalmas tavi, egymólós balról megközelíthet? kiköt? (Balatonakali) felé hajózik. Milyen kiköt?i fényjelzés észlelhet? éjszaka balról (az X-el jelzett) helyen?"	Minden oldalról látható villanó fehér fény.	Minden oldalról látható villanó vörös fény.	Minden oldalról látható villanó zöld fény.	xxx-0486.jpg	2
751	"Nagyhajók fogadására is alkalmas tavi, egymólós - bármilyen irányból megközelíthet? - kiköt? (Balatonfüred) felé hajózik. Milyen kiköt?i jelzés észlelhet? az X-el jelzett helyen nappal?"	"Vörös-fehér, 1,5 méter széles vízszintesen csíkozott jelz?oszlop."	"Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelz?oszlop."	"Vörös-zöld, 1,5 méter széles vízszintesen csíkozott jelz?oszlop."	xxx-0487.jpg	3
752	"Nagyhajók fogadására is alkalmas tavi, egymólós bármilyen irányból megközelíthet? kiköt? (Balatonfüred) felé hajózik. Milyen kiköt?i fényjelzés észlelhet? éjszaka az X-el jelzett helyen?"	Minden oldalról látható villanó sárga fény.	Minden oldalról látható villanó fehér fény.	Minden oldalról látható villanó vörös fény.	xxx-0488.jpg	2
753	Milyen jelzéssekkel jelölik a kishajók és csónakok kikötésére alkalmas tavi kétmólós kiköt?t? A tó fel?l nézve	"1,0 m széles jobbról vörös-fehér csíkozású oszlop rajta vörös henger, balról zöld-fehér oszlop rajt zöld kúp, éjszaka a jelz?testeket fehér fény világítja meg."	"1,0 m széles fehér és fekete csíkozású oszlop, jobbról vörös hengerrel balról zöld kúppal, éjszaka a jelz?testeket fehér fény világítja meg."	"1,0 m széles jobbról zöld-fehér csíkozású oszlop rajta zöld kúp, balról vörös-fehér csíkozású oszlop rajta vörös henger, éjszaka a jelz?testeket fehér fény világítja meg."	xxx-0489.jpg	3
754	Milyen jelzéssekkel jelölik a kishajók és csónakok kikötésére alkalmas tavi kétmólós kiköt?t éjszaka? A tó fel?l nézve	"a jobb oldali oszlopon vörös henger, a bal oldali oszlopon zöld kúp, a jelz?testeket fehér fény világítja meg."	"a jobb oldali oszlopon vörös henger villogó vörös fénnyel, a bal oldali oszlopon zöld kúp zöld villogó fénnyel."	"a jobb oldali oszlopon zöld kúp, a bal oldali oszlopon vörös henger, a jelz?testeket fehér fény világítja meg."	xxx-0490.jpg	3
755	"Kishajók és csónakok fogadására alkalmas tavi, egymólós jobbról megközelíthet? kiköt? felé hajózik. Milyen kiköt?i jelzés észlelhet? jobbról (az X-el jelzett helyen) nappal?"	"Vörös-fehér, 1,0 méter széles vízszintesen csíkozott jelz?oszlop, fels? részén vörös hengerrel."	"Vörös-zöld, 1,0 méter széles vízszintesen csíkozott jelz?oszlop, fels? részén vörös-zöld vízszintes csíkozású gömbbel."	"Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelz?oszlop, fels? részén zöld kúppal."	xxx-0495.jpg	3
756	"Kishajók (és csónakok) fogadására alkalmas tavi, egymólós jobbról megközelíthet? kiköt? felé hajózik. Milyen kiköt?i jelzés észlelhet? éjszaka jobbról (az X-el jelzett) helyen?"	Fehér fénnyel megvilágított vörös-zöld vízszintes csíkozású gömb.	Fehér fénnyel megvilágított zöld kúp.	Fehér fénnyel megvilágított vörös henger.	xxx-0496.jpg	2
757	"Kishajók (és csónakok) fogadására alkalmas tavi, egymólós balról megközelíthet? kiköt? felé hajózik. Milyen kiköt?i jelzés észlelhet? balról (az X-el jelzett helyen) nappal?"	"Vörös-fehér, 1,0 méter széles vízszintesen csíkozott jelz?oszlop, fels? részén vörös hengerrel."	"Vörös-zöld, 1,0 méter széles vízszintesen csíkozott jelz?oszlop, fels? részén vörös-zöld vízszintes csíkozású gömbbel."	"Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelz?oszlop, fels? részén zöld kúppal."	xxx-0497.jpg	1
758	"Kishajók (és csónakok) fogadására alkalmas tavi, egymólós balról megközelíthet? kiköt? felé hajózik. Milyen kiköt?i jelzés észlelhet? éjszaka balról (az X-el jelzett) helyen?"	Fehér fénnyel megvilágított zöld kúp.	Fehér fénnyel megvilágított vörös-zöld vízszintes csíkozású gömb.	Fehér fénnyel megvilágított vörös henger.	xxx-0498.jpg	3
759	"Kishajók (és csónakok) fogadására alkalmas egymólós, kishajók és csónakok kikötésére alkalmas, bármilyen irányból megközelíthet? kiköt? felé hajózik. Milyen kiköt?i jelzés észlelhet? jobbról (az X-el jelzett helyen) nappal?"	"Vörös-fehér, 1,0 méter széles vízszintesen csíkozott jelz?oszlop, fels? részén vörös hengerrel."	"Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelz?oszlop, fels? részén zöld kúppal."	"Vörös-zöld, 1,0 méter széles vízszintesen csíkozott jelz?oszlop, fels? részén vörös-zöld vízszintes csíkozású gömbbel."	xxx-0499.jpg	3
760	"Kishajók (és csónakok) fogadására alkalmas egymólós, kishajók és csónakok kikötésére alkalmas, bármilyen irányból megközelíthet? kiköt? felé hajózik. Milyen kiköt?i jelzés észlelhet? jobbról (az X-el jelzett helyen)?"	"Vörös-fehér, 1,0 méter széles vízszintesen csíkozott jelz?oszlop, fels? részén vörös hengerrel."	"Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelz?oszlop, fels? részén zöld kúppal."	"Vörös-zöld, 1,0 méter széles vízszintesen csíkozott jelz?oszlop, fels? részén vörös-zöld vízszintes csíkozású gömbbel."	xxx-0500.jpg	3
